PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
₹ 4 Lakh,Hatchback,"1,20,000 Kms",3rd Owner,2015,23.1,Petrol,2015,Third Party insurance,5 Speed ,Manual,5 Seats,BANGALORE
₹ 8.11 Lakh,SUV,"32,706 Kms",2nd Owner,2018,17.0,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.85 Lakh,Hatchback,"11,949 Kms",1st Owner,2018,23.84,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.62 Lakh,Sedan,"17,794 Kms",1st Owner,2014,19.1,Petrol,2014,Comprehensive,5 Speed ,Manual,5 Seats,BANGALORE
₹ 7.90 Lakh,SUV,"60,000 Kms",1st Owner,2015,23.65,Diesel,2015,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 19 Lakh,SUV,"20,000 Kms",1st Owner,2020,17.1,Diesel,2020,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 3.45 Lakh,Hatchback,"37,772 Kms",1st Owner,2017,20.63,Petrol,2017,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 12 Lakh,SUV,"30,000 Kms",1st Owner,2021,18.15,Petrol,2021,Third Party insurance,7-Speed,Automatic,5 Seats,BANGALORE
₹ 9.60 Lakh,Sedan,"37,000 Kms",1st Owner,2018,20.28,Petrol,2018,Comprehensive,4 Speed,Automatic,5 Seats,BANGALORE
₹ 5.85 Lakh,Hatchback,"11,949 Kms",1st Owner,2017,23.84,Petrol,2017,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.90 Lakh,Hatchback,"50,000 Kms",1st Owner,2018,21.4,Petrol,2018,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.82 Lakh,Hatchback,"24,887 Kms",1st Owner,2019,18.9,Petrol,2019,Third Party insurance,4 Speed,Automatic,5 Seats,BANGALORE
₹ 8.25 Lakh,Hatchback,"23,000 Kms",1st Owner,2018,18.2,Petrol,2018,Comprehensive,5 Speed,Automatic,5 Seats,BANGALORE
₹ 5.95 Lakh,Hatchback,"48,928 Kms",1st Owner,2018,23.84,Petrol,2018,Comprehensive,5 Speed,Automatic,5 Seats,BANGALORE
₹ 6.90 Lakh,SUV,"1,08,862 Kms",3rd Owner,2014,15.1,Diesel,2014,Comprehensive,6 Speed ,Manual,7 Seats,BANGALORE
₹ 13.50 Lakh,SUV,"80,000 Kms",1st Owner,2018,17.1,Diesel,2018,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 55.95 Lakh,SUV,"16,000 Kms",1st Owner,2022,18.9,Diesel,2022,Comprehensive,8G-DCT,Automatic,5 Seats,BANGALORE
₹ 5.21 Lakh,Hatchback,"65,376 Kms",2nd Owner,2014,21.27,Diesel,2014,Comprehensive,6 Speed,Manual,5 Seats,BANGALORE
₹ 10.05 Lakh,SUV,"10,000 Kms",1st Owner,2022,17.33,Petrol,2022,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 7.75 Lakh,Sedan,"67,000 Kms",2nd Owner,2016,17.8,Petrol,2016,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 22 Lakh,Sedan,"1,00,000 Kms",3rd Owner,2011,18.48,Diesel,2011,Third Party insurance,6 Speed,Automatic,5 Seats,BANGALORE
₹ 5.82 Lakh,Hatchback,"18,083 Kms",1st Owner,2016,22.38,Petrol,2016,Comprehensive,5-Speed,Manual,5 Seats,BANGALORE
₹ 10.90 Lakh,SUV,"30,000 Kms",1st Owner,2020,16.42,Petrol,2020,Third Party insurance,5-Speed,Manual,5 Seats,BANGALORE
₹ 4.57 Lakh,Hatchback,"57,634 Kms",2nd Owner,2016,23.84,Petrol,2016,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 49 Lakh,Sedan,"50,000 Kms",2nd Owner,2016,7.81,Petrol,2016,Third Party insurance,7 Speed,Automatic,5 Seats,BANGALORE
₹ 5.50 Lakh,Sedan,"1,10,000 Kms",1st Owner,2015,17.4,Petrol,2015,Third Party insurance,5 Speed ,Manual,5 Seats,BANGALORE
₹ 5.70 Lakh,Hatchback,"23,447 Kms",1st Owner,2018,20.3,Petrol,2018,Comprehensive,5 Speed,Automatic,5 Seats,BANGALORE
₹ 2.20 Lakh,Hatchback,"30,000 Kms",2nd Owner,2009,13.45,LPG,2009,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 41.45 Lakh,Sedan,"33,000 Kms",1st Owner,2017,15.0,Petrol,2017,Comprehensive,9 Speed,Automatic,5 Seats,BANGALORE
₹ 8.61 Lakh,SUV,"87,667 Kms",2nd Owner,2014,15.1,Diesel,2014,Third Party,6 Speed ,Manual,7 Seats,BANGALORE
₹ 17.85 Lakh,Sedan,"40,000 Kms",2nd Owner,2016,17.11,Diesel,2016,Third Party insurance,8 Speed,Automatic,5 Seats,BANGALORE
₹ 8.03 Lakh,SUV,"79,012 Kms",2nd Owner,2014,15.1,Diesel,2014,Comprehensive,6 Speed,Manual,7 Seats,BANGALORE
₹ 25.65 Lakh,SUV,"31,344 Kms",1st Owner,2021,17.1,Diesel,2021,Comprehensive,6 Speed,Manual,5 Seats,BANGALORE
₹ 6.74 Lakh,Sedan,"50,000 Kms",1st Owner,2018,20.14,Petrol,2018,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 3.49 Lakh,Hatchback,"12,434 Kms",1st Owner,2015,20.51,Petrol,2015,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 10.50 Lakh,MUV,"60,000 Kms",2nd Owner,2019,19.34,Petrol,2019,Third Party insurance,5 Speed,Manual,7 Seats,BANGALORE
₹ 44.25 Lakh,Sedan,"12,000 Kms",1st Owner,2019,12.6,Diesel,2019,Comprehensive,9 Speed,Automatic,5 Seats,BANGALORE
₹ 4.06 Lakh,Hatchback,"40,987 Kms",2nd Owner,2015,20.51,Petrol,2015,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 49.65 Lakh,Sedan,"18,157 Kms",1st Owner,2020,15.56,Petrol,2020,Zero Dep,8-Speed Steptronic,Automatic,5 Seats,BANGALORE
₹ 11 Lakh,SUV,"1,20,000 Kms",3rd Owner,2011,11.5,Diesel,2011,Third Party insurance,5 Speed,Manual,7 Seats,BANGALORE
₹ 11 Lakh,SUV,"40,000 Kms",2nd Owner,2020,19.87,Diesel,2020,Third Party insurance,6-Speed,Automatic,5 Seats,BANGALORE
₹ 5.94 Lakh,Hatchback,"89,667 Kms",1st Owner,2016,18.6,Petrol,2016,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.10 Lakh,Hatchback,"1,20,000 Kms",1st Owner,2017,22.54,Diesel,2017,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 6.92 Lakh,Hatchback,"56,997 Kms",1st Owner,2017,21.4,Petrol,2017,Zero Dep,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.50 Lakh,Sedan,"1,20,000 Kms",1st Owner,2013,16.3,Petrol,2013,Third Party insurance,6 Speed ,Manual,5 Seats,BANGALORE
₹ 20.90 Lakh,Sedan,"59,000 Kms",1st Owner,2015,18.53,Diesel,2015,Third Party insurance,7 Speed,Automatic,5 Seats,BANGALORE
₹ 4.11 Lakh,Hatchback,"18,835 Kms",1st Owner,2021,22.05,Petrol,2021,Zero Dep,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.50 Lakh,SUV,"1,20,000 Kms",2nd Owner,2010,12.05,Diesel,2010,Third Party insurance,5 Speed,Manual,7 Seats,BANGALORE
₹ 36.75 Lakh,Hatchback,"40,000 Kms",1st Owner,2016,17.33,Petrol,2016,Comprehensive,7 Speed,Automatic,4 Seats,BANGALORE
₹ 6.10 Lakh,Hatchback,"60,932 Kms",1st Owner,2019,23.84,Petrol,2019,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 16.75 Lakh,SUV,"33,539 Kms",2nd Owner,2020,16.5,Petrol,2020,Comprehensive,7-Speed DCT,Automatic,5 Seats,BANGALORE
₹ 5.30 Lakh,Hatchback,"66,837 Kms",2nd Owner,2018,23.84,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 79.90 Lakh,Sedan,400 Kms,1st Owner,2022,18.9,Diesel,2022,Third Party,9-Speed,Automatic,5 Seats,BANGALORE
₹ 2.50 Lakh,Hatchback,"60,000 Kms",2nd Owner,2008,19.7,Petrol,2008,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.15 Lakh,Hatchback,"44,285 Kms",1st Owner,2019,18.6,Petrol,2019,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 35 Lakh,SUV,"1,00,000 Kms",2nd Owner,2014,11.3,Diesel,2014,Third Party insurance,7 Speed,Automatic,7 Seats,BANGALORE
₹ 22.50 Lakh,SUV,"25,000 Kms",1st Owner,2021,14.08,Diesel,2021,Comprehensive,6-Speed,Automatic,6 Seats,BANGALORE
₹ 6.25 Lakh,Hatchback,"36,735 Kms",1st Owner,2018,18.9,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 26.95 Lakh,SUV,"79,000 Kms",1st Owner,2015,12.07,Diesel,2015,Comprehensive,8 Speed Tiptronic,Automatic,7 Seats,BANGALORE
₹ 6.50 Lakh,SUV,"1,20,000 Kms",2nd Owner,2010,12.05,Diesel,2010,Third Party insurance,5 Speed,Manual,8 Seats,BANGALORE
₹ 5.50 Lakh,Hatchback,"10,000 Kms",1st Owner,2022,22.0,Petrol,2022,Third Party insurance,5 Speed,Automatic,5 Seats,BANGALORE
₹ 8.25 Lakh,SUV,"53,645 Kms",1st Owner,2018,21.5,Diesel,2018,Comprehensive,6 Speed,Manual,5 Seats,BANGALORE
₹ 2.20 Lakh,Hatchback,"1,00,000 Kms",2nd Owner,2006,15.3,Petrol,2006,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.28 Lakh,Hatchback,"53,982 Kms",1st Owner,2014,26.68,Petrol,2014,Comprehensive,5-Speed,Automatic,5 Seats,BANGALORE
₹ 6.95 Lakh,Sedan,"1,10,000 Kms",1st Owner,2014,21.14,Diesel,2014,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 9.30 Lakh,SUV,"37,741 Kms",2nd Owner,2019,15.9,Petrol,2019,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.55 Lakh,Hatchback,"17,367 Kms",1st Owner,2021,22.05,Petrol,2021,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 11.95 Lakh,SUV,"94,000 Kms",1st Owner,2017,19.67,Diesel,2017,Comprehensive,6 Speed,Manual,5 Seats,BANGALORE
₹ 21.75 Lakh,SUV,"33,700 Kms",1st Owner,2021,14.6,Diesel,2021,Comprehensive,6-Speed,Automatic,5 Seats,BANGALORE
₹ 4.42 Lakh,Hatchback,"54,601 Kms",3rd Owner,2014,22.38,Petrol,2014,Comprehensive,5-Speed,Manual,5 Seats,BANGALORE
₹ 6.90 Lakh,Hatchback,"1,10,000 Kms",1st Owner,2018,28.4,Diesel,2018,Third Party insurance,5,Manual,5 Seats,BANGALORE
₹ 5 Lakh,Hatchback,"64,000 Kms",2nd Owner,2017,23.1,Petrol,2017,Third Party,5 Speed ,Manual,5 Seats,BANGALORE
₹ 33.95 Lakh,Sedan,"40,525 Kms",1st Owner,2016,21.76,Diesel,2016,Comprehensive,8 Speed,Automatic,5 Seats,BANGALORE
₹ 6.50 Lakh,Sedan,"1,00,000 Kms",1st Owner,2015,26.21,Diesel,2015,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.37 Lakh,Hatchback,"44,154 Kms",2nd Owner,2016,19.0,Petrol,2016,Comprehensive,5 Speed,Automatic,5 Seats,BANGALORE
₹ 7.50 Lakh,MUV,"70,000 Kms",1st Owner,2016,19.98,Diesel,2016,Third Party insurance,6 Speed,Manual,7 Seats,BANGALORE
₹ 17.90 Lakh,Sedan,"79,000 Kms",1st Owner,2018,15.1,Petrol,2018,Comprehensive,7 Speed,Automatic,5 Seats,BANGALORE
₹ 4.68 Lakh,Hatchback,"68,039 Kms",2nd Owner,2017,23.84,Petrol,2017,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.20 Lakh,Hatchback,"60,000 Kms",2nd Owner,2014,18.5,Petrol,2014,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.20 Lakh,Hatchback,"60,000 Kms",2nd Owner,2014,18.5,Petrol,2014,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 9.20 Lakh,Hatchback,"10,000 Kms",1st Owner,2021,20.0,Petrol,2021,Third Party insurance,6 Speed IMT,Manual,5 Seats,BANGALORE
₹ 5.33 Lakh,Sedan,"49,873 Kms",1st Owner,2013,16.8,Petrol,2013,Third Party,5 Speed,Manual,5 Seats,BANGALORE
₹ 8.50 Lakh,Hatchback,"90,000 Kms",3rd Owner,2013,17.2,Petrol,2013,Third Party insurance,7 Speed,Automatic,5 Seats,BANGALORE
₹ 7.51 Lakh,Sedan,"48,960 Kms",2nd Owner,2017,21.13,Diesel,2017,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
