PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
400000.0,Hatchback,120000,3,2015,23.1,Petrol,2015,Third Party insurance,5,Manual,5,BANGALORE
811000.0,SUV,32706,2,2018,17.0,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
585000.0,Hatchback,11949,1,2018,23.84,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
462000.0,Sedan,17794,1,2014,19.1,Petrol,2014,Comprehensive,5,Manual,5,BANGALORE
790000.0,SUV,60000,1,2015,23.65,Diesel,2015,Third Party insurance,5,Manual,5,BANGALORE
1900000.0,SUV,20000,1,2020,17.1,Diesel,2020,Third Party insurance,6,Manual,5,BANGALORE
345000.0,Hatchback,37772,1,2017,20.63,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE
1200000.0,SUV,30000,1,2021,18.15,Petrol,2021,Third Party insurance,7,Automatic,5,BANGALORE
960000.0,Sedan,37000,1,2018,20.28,Petrol,2018,Comprehensive,4,Automatic,5,BANGALORE
585000.0,Hatchback,11949,1,2017,23.84,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE
690000.0,Hatchback,50000,1,2018,21.4,Petrol,2018,Third Party insurance,5,Manual,5,BANGALORE
682000.0,Hatchback,24887,1,2019,18.9,Petrol,2019,Third Party insurance,4,Automatic,5,BANGALORE
825000.0,Hatchback,23000,1,2018,18.2,Petrol,2018,Comprehensive,5,Automatic,5,BANGALORE
595000.0,Hatchback,48928,1,2018,23.84,Petrol,2018,Comprehensive,5,Automatic,5,BANGALORE
690000.0,SUV,108862,3,2014,15.1,Diesel,2014,Comprehensive,6,Manual,7,BANGALORE
1350000.0,SUV,80000,1,2018,17.1,Diesel,2018,Third Party insurance,6,Manual,5,BANGALORE
5595000.0,SUV,16000,1,2022,18.9,Diesel,2022,Comprehensive,8,Automatic,5,BANGALORE
521000.0,Hatchback,65376,2,2014,21.27,Diesel,2014,Comprehensive,6,Manual,5,BANGALORE
1005000.0,SUV,10000,1,2022,17.33,Petrol,2022,Third Party insurance,6,Manual,5,BANGALORE
775000.0,Sedan,67000,2,2016,17.8,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
2200000.0,Sedan,100000,3,2011,18.48,Diesel,2011,Third Party insurance,6,Automatic,5,BANGALORE
582000.0,Hatchback,18083,1,2016,22.38,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
1090000.0,SUV,30000,1,2020,16.42,Petrol,2020,Third Party insurance,5,Manual,5,BANGALORE
457000.0,Hatchback,57634,2,2016,23.84,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
4900000.0,Sedan,50000,2,2016,7.81,Petrol,2016,Third Party insurance,7,Automatic,5,BANGALORE
550000.0,Sedan,110000,1,2015,17.4,Petrol,2015,Third Party insurance,5,Manual,5,BANGALORE
570000.0,Hatchback,23447,1,2018,20.3,Petrol,2018,Comprehensive,5,Automatic,5,BANGALORE
220000.0,Hatchback,30000,2,2009,13.45,LPG,2009,Third Party insurance,5,Manual,5,BANGALORE
4145000.0,Sedan,33000,1,2017,15.0,Petrol,2017,Comprehensive,9,Automatic,5,BANGALORE
861000.0,SUV,87667,2,2014,15.1,Diesel,2014,Third Party,6,Manual,7,BANGALORE
1785000.0,Sedan,40000,2,2016,17.11,Diesel,2016,Third Party insurance,8,Automatic,5,BANGALORE
803000.0,SUV,79012,2,2014,15.1,Diesel,2014,Comprehensive,6,Manual,7,BANGALORE
2565000.0,SUV,31344,1,2021,17.1,Diesel,2021,Comprehensive,6,Manual,5,BANGALORE
674000.0,Sedan,50000,1,2018,20.14,Petrol,2018,Third Party insurance,5,Manual,5,BANGALORE
349000.0,Hatchback,12434,1,2015,20.51,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE
1050000.0,MUV,60000,2,2019,19.34,Petrol,2019,Third Party insurance,5,Manual,7,BANGALORE
4425000.0,Sedan,12000,1,2019,12.6,Diesel,2019,Comprehensive,9,Automatic,5,BANGALORE
406000.0,Hatchback,40987,2,2015,20.51,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE
4965000.0,Sedan,18157,1,2020,15.56,Petrol,2020,Zero Dep,8,Automatic,5,BANGALORE
1100000.0,SUV,120000,3,2011,11.5,Diesel,2011,Third Party insurance,5,Manual,7,BANGALORE
1100000.0,SUV,40000,2,2020,19.87,Diesel,2020,Third Party insurance,6,Automatic,5,BANGALORE
594000.0,Hatchback,89667,1,2016,18.6,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
710000.0,Hatchback,120000,1,2017,22.54,Diesel,2017,Third Party insurance,6,Manual,5,BANGALORE
692000.0,Hatchback,56997,1,2017,21.4,Petrol,2017,Zero Dep,5,Manual,5,BANGALORE
650000.0,Sedan,120000,1,2013,16.3,Petrol,2013,Third Party insurance,6,Manual,5,BANGALORE
