price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
400000,Hatchback,120000,3,2015,23.1,KA51,Petrol,2015,2015,Third Party insurance,5,Manual,5,bangalore,998
811000,SUV,32706,2,2018,17.0,KA05,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,1497
585000,Hatchback,11949,1,2018,23.84,KA03,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,1199
462000,Sedan,17794,1,2014,19.1,KA53,Petrol,2014,2014,Comprehensive,5,Manual,5,bangalore,1197
790000,SUV,60000,1,2015,23.65,KA04,Diesel,2015,2015,Third Party insurance,5,Manual,5,bangalore,1248
1900000,SUV,20000,1,2020,17.1,KA04,Diesel,2020,2020,Third Party insurance,6,Manual,5,bangalore,1956
345000,Hatchback,37772,1,2017,20.63,KA05,Petrol,2017,2017,Comprehensive,5,Manual,5,bangalore,1198
1200000,SUV,30000,1,2021,18.15,KA51,Petrol,2021,2021,Third Party insurance,7,Automatic,5,bangalore,998
960000,Sedan,37000,1,2018,20.28,KA03,Petrol,2018,2018,Comprehensive,4,Automatic,5,bangalore,1462
585000,Hatchback,11949,1,2017,23.84,KA03,Petrol,2018,2017,Comprehensive,5,Manual,5,bangalore,1199
690000,Hatchback,50000,1,2018,21.4,KA03,Petrol,2018,2018,Third Party insurance,5,Manual,5,bangalore,1197
682000,Hatchback,24887,1,2019,18.9,KA51,Petrol,2019,2019,Third Party insurance,4,Automatic,5,bangalore,1197
825000,Hatchback,23000,1,2018,18.2,KA03,Petrol,2018,2018,Comprehensive,5,Automatic,5,bangalore,1199
595000,Hatchback,48928,1,2018,23.84,KA03,Petrol,2018,2018,Comprehensive,5,Automatic,5,bangalore,1199
690000,SUV,108862,3,2014,15.1,KA01,Diesel,2014,2014,Comprehensive,6,Manual,7,bangalore,2179
1350000,SUV,80000,1,2018,17.1,OD02,Diesel,2018,2018,Third Party insurance,6,Manual,5,bangalore,1956
5595000,SUV,16000,1,2022,18.9,KA01,Diesel,2022,2022,Comprehensive,8,Automatic,5,bangalore,1950
521000,Hatchback,65376,2,2014,21.27,KA41,Diesel,2014,2014,Comprehensive,6,Manual,5,bangalore,1396
1005000,SUV,10000,1,2022,17.33,KA02,Petrol,2022,2022,Third Party insurance,6,Manual,5,bangalore,1199
775000,Sedan,67000,2,2016,17.8,KA53,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1497
2200000,Sedan,100000,3,2011,18.48,KA03,Diesel,2011,2011,Third Party insurance,6,Automatic,5,bangalore,1995
582000,Hatchback,18083,1,2016,22.38,KA04,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1197
1090000,SUV,30000,1,2020,16.42,KA01,Petrol,2020,2020,Third Party insurance,5,Manual,5,bangalore,1498
457000,Hatchback,57634,2,2016,23.84,KA05,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1199
4900000,Sedan,50000,2,2016,7.81,KA03,Petrol,2016,2016,Third Party insurance,7,Automatic,5,bangalore,4663
550000,Sedan,110000,1,2015,17.4,HR26,Petrol,2015,2015,Third Party insurance,5,Manual,5,bangalore,1497
570000,Hatchback,23447,1,2018,20.3,KA04,Petrol,2018,2018,Comprehensive,5,Automatic,5,bangalore,1086
220000,Hatchback,30000,2,2009,13.45,KA03,LPG,2009,2009,Third Party insurance,5,Manual,5,bangalore,1086
4145000,Sedan,33000,1,2017,15.0,KA05,Petrol,2017,2017,Comprehensive,9,Automatic,5,bangalore,1991
861000,SUV,87667,2,2014,15.1,KA04,Diesel,2014,2014,Third Party,6,Manual,7,bangalore,2179
1785000,Sedan,40000,2,2016,17.11,KA51,Diesel,2016,2016,Third Party insurance,8,Automatic,5,bangalore,1968
803000,SUV,79012,2,2014,15.1,KA51,Diesel,2014,2014,Comprehensive,6,Manual,7,bangalore,2179
2565000,SUV,31344,1,2021,17.1,KA05,Diesel,2021,2021,Comprehensive,6,Manual,5,bangalore,1956
674000,Sedan,50000,1,2018,20.14,KA03,Petrol,2018,2018,Third Party insurance,5,Manual,5,bangalore,1197
349000,Hatchback,12434,1,2015,20.51,WB38,Petrol,2015,2015,Comprehensive,5,Manual,5,bangalore,998
1050000,MUV,60000,2,2019,19.34,KA53,Petrol,2019,2019,Third Party insurance,5,Manual,7,bangalore,1462
4425000,Sedan,12000,1,2019,12.6,KA51,Diesel,2019,2019,Comprehensive,9,Automatic,5,bangalore,1950
406000,Hatchback,40987,2,2015,20.51,KA53,Petrol,2015,2015,Comprehensive,5,Manual,5,bangalore,998
4965000,Sedan,18157,1,2020,15.56,KA51,Petrol,2020,2020,Zero Dep,8,Automatic,5,bangalore,1998
1100000,SUV,120000,3,2011,11.5,KA47,Diesel,2011,2011,Third Party insurance,5,Manual,7,bangalore,2982
1100000,SUV,40000,2,2020,19.87,KA51,Diesel,2020,2020,Third Party insurance,6,Automatic,5,bangalore,1461
594000,Hatchback,89667,1,2016,18.6,KA19,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1197
710000,Hatchback,120000,1,2017,22.54,KA05,Diesel,2017,2017,Third Party insurance,6,Manual,5,bangalore,1396
692000,Hatchback,56997,1,2017,21.4,KA03,Petrol,2017,2017,Zero Dep,5,Manual,5,bangalore,1197
650000,Sedan,120000,1,2013,16.3,KA41,Petrol,2013,2013,Third Party insurance,6,Manual,5,bangalore,1797
2090000,Sedan,59000,1,2015,18.53,HR26,Diesel,2016,2015,Third Party insurance,7,Automatic,5,bangalore,1968
411000,Hatchback,18835,1,2021,22.05,KA50,Petrol,2021,2021,Zero Dep,5,Manual,5,bangalore,796
650000,SUV,120000,2,2010,12.05,KA19,Diesel,2010,2010,Third Party insurance,5,Manual,7,bangalore,2179
3675000,Hatchback,40000,1,2016,17.33,KA51,Petrol,2016,2016,Comprehensive,7,Automatic,4,bangalore,1998
610000,Hatchback,60932,1,2019,23.84,KA03,Petrol,2019,2019,Comprehensive,5,Manual,5,bangalore,1199
1675000,SUV,33539,2,2020,16.5,KA05,Petrol,2020,2020,Comprehensive,7,Automatic,5,bangalore,1353
530000,Hatchback,66837,2,2018,23.84,KA05,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,1199
7990000,Sedan,400,1,2022,18.9,KA53,Diesel,2022,2022,Third Party,9,Automatic,5,bangalore,2925
250000,Hatchback,60000,2,2008,19.7,KA03,Petrol,2008,2008,Third Party insurance,5,Manual,5,bangalore,796
715000,Hatchback,44285,1,2019,18.6,KA09,Petrol,2019,2019,Third Party insurance,5,Manual,5,bangalore,1197
3500000,SUV,100000,2,2014,11.3,PY01,Diesel,2014,2014,Third Party insurance,7,Automatic,7,bangalore,2987
2250000,SUV,25000,1,2021,14.08,KA19,Diesel,2021,2021,Comprehensive,6,Automatic,6,bangalore,1956
625000,Hatchback,36735,1,2018,18.9,KA03,Petrol,2019,2018,Comprehensive,5,Manual,5,bangalore,1197
2695000,SUV,79000,1,2015,12.07,KA51,Diesel,2015,2015,Comprehensive,8,Automatic,7,bangalore,2967
650000,SUV,120000,2,2010,12.05,KA19,Diesel,2010,2010,Third Party insurance,5,Manual,8,bangalore,2179
550000,Hatchback,10000,1,2022,22.0,KA50,Petrol,2022,2022,Third Party insurance,5,Automatic,5,bangalore,999
825000,SUV,53645,1,2018,21.5,KA05,Diesel,2018,2018,Comprehensive,6,Manual,5,bangalore,1497
220000,Hatchback,100000,2,2006,15.3,KA03,Petrol,2006,2006,Third Party insurance,5,Manual,5,bangalore,1341
428000,Hatchback,53982,1,2014,26.68,KA03,Petrol,2014,2014,Comprehensive,5,Automatic,5,bangalore,998
695000,Sedan,110000,1,2014,21.14,KA03,Diesel,2014,2014,Third Party insurance,5,Manual,5,bangalore,1498
930000,SUV,37741,2,2019,15.9,KA01,Petrol,2019,2019,Third Party insurance,5,Manual,5,bangalore,1496
455000,Hatchback,17367,1,2021,22.05,KA02,Petrol,2021,2021,Comprehensive,5,Manual,5,bangalore,796
1195000,SUV,94000,1,2017,19.67,KA05,Diesel,2017,2017,Comprehensive,6,Manual,5,bangalore,1582
2175000,SUV,33700,1,2021,14.6,KA04,Diesel,2021,2021,Comprehensive,6,Automatic,5,bangalore,1956
442000,Hatchback,54601,3,2014,22.38,KA53,Petrol,2014,2014,Comprehensive,5,Manual,5,bangalore,1197
690000,Hatchback,110000,1,2018,28.4,KA41,Diesel,2018,2018,Third Party insurance,5,Manual,5,bangalore,1248
500000,Hatchback,64000,2,2017,23.1,KA04,Petrol,2017,2017,Third Party,5,Manual,5,bangalore,998
3395000,Sedan,40525,1,2016,21.76,KA66,Diesel,2016,2016,Comprehensive,8,Automatic,5,bangalore,1995
650000,Sedan,100000,1,2015,26.21,KA03,Diesel,2015,2015,Third Party insurance,5,Manual,5,bangalore,1248
537000,Hatchback,44154,2,2016,19.0,KA03,Petrol,2016,2016,Comprehensive,5,Automatic,5,bangalore,1199
750000,MUV,70000,1,2016,19.98,KA03,Diesel,2016,2016,Third Party insurance,6,Manual,7,bangalore,1461
1790000,Sedan,79000,1,2018,15.1,KA20,Petrol,2018,2018,Comprehensive,7,Automatic,5,bangalore,1798
468000,Hatchback,68039,2,2017,23.84,KA53,Petrol,2018,2017,Third Party insurance,5,Manual,5,bangalore,1199
420000,Hatchback,60000,2,2014,18.5,KA03,Petrol,2014,2014,Third Party insurance,5,Manual,5,bangalore,1197
