price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 4 Lakh,Hatchback,"1,20,000 Kms",3rd Owner,2015.0,23.1 kmpl,KA51,Petrol,2015,2015,Third Party insurance,5 Speed ,Manual,5 Seats,bangalore,998 cc
₹ 8.11 Lakh,SUV,"32,706 Kms",2nd Owner,2018.0,17 kmpl,KA05,Petrol,Feb 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 5.85 Lakh,Hatchback,"11,949 Kms",1st Owner,2018.0,23.84 kmpl,KA03,Petrol,Sept 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 4.62 Lakh,Sedan,"17,794 Kms",1st Owner,2014.0,19.1 kmpl,KA53,Petrol,Dec 2014,2014,Comprehensive,5 Speed ,Manual,5 Seats,bangalore,1197 cc
₹ 7.90 Lakh,SUV,"60,000 Kms",1st Owner,2015.0,23.65 kmpl,KA04,Diesel,2015,2015,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 19 Lakh,SUV,"20,000 Kms",1st Owner,2020.0,17.1 kmpl,KA04,Diesel,2020,2020,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1956 cc
₹ 3.45 Lakh,Hatchback,"37,772 Kms",1st Owner,2017.0,20.63 kmpl,KA05,Petrol,Aug 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1198 cc
₹ 12 Lakh,SUV,"30,000 Kms",1st Owner,2021.0,18.15 kmpl,KA51,Petrol,2021,2021,Third Party insurance,7-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 9.60 Lakh,Sedan,"37,000 Kms",1st Owner,2018.0,20.28 kmpl,KA03,Petrol,Aug 2018,2018,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1462 cc
₹ 5.85 Lakh,Hatchback,"11,949 Kms",1st Owner,2017.0,23.84 kmpl,KA03,Petrol,Jan 2018,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 6.90 Lakh,Hatchback,"50,000 Kms",1st Owner,2018.0,21.4 kmpl,,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.82 Lakh,Hatchback,"24,887 Kms",1st Owner,2019.0,18.9 kmpl,KA51,Petrol,May 2019,2019,Third Party insurance,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 8.25 Lakh,Hatchback,"23,000 Kms",1st Owner,2018.0,18.2 kmpl,KA03,Petrol,Oct 2018,2018,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 5.95 Lakh,Hatchback,"48,928 Kms",1st Owner,2018.0,23.84 kmpl,KA03,Petrol,Aug 2018,2018,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 6.90 Lakh,SUV,"1,08,862 Kms",3rd Owner,2014.0,15.1 kmpl,KA01,Diesel,Aug 2014,2014,Comprehensive,6 Speed ,Manual,7 Seats,bangalore,2179 cc
₹ 13.50 Lakh,SUV,"80,000 Kms",1st Owner,2018.0,17.1 kmpl,OD02,Diesel,2018,2018,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1956 cc
